Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x40010000,0x40010014,9.4.5External interrupt configuration register 4 (AFIO_EXTICR4) ,CR,CR,1,1,Yes,
0x40010400,0x40010400,Interrupt mask register (EXTI_IMR) ,CR,CR,1,1,Yes,
0x40010400,0x40010404,Event mask register (EXTI_EMR)  ,CR,CR,1,1,Yes,
0x40010400,0x40010408,Rising trigger selection register (EXTI_RTSR)   ,CR,CR,1,1,Yes,
0x40010400,0x4001040c,Falling trigger selection register (EXTI_FTSR)   ,CR,CR,1,1,Yes,
0x40010400,0x40010414,Pending register (EXTI_PR)   ,SR,SR,1,1,Yes,
0x40010800,0x40010800,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,CR,1,1,Yes,
0x40010800,0x40010810,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,DR,0,1,Yes,
0x40011000,0x40011004,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,CR,1,1,Yes,
0x40011000,0x4001100c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,SR,1,0,NO,
0x40011000,0x40011010,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,DR,0,1,Yes,
0x40011000,0x40011014,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,DR,0,1,Yes,
0x40021000,0x40021000,Control register (RCC_CR)  ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021004,Clock configuration register (RCC_CFGR)   ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021008,7.3.2Clock interrupt register (RCC_CIR)  ,CR,DR,0,1,NO,
0x40021000,0x40021018,7.3.7APB2 peripheral clock enable register (RCC_APB2ENR) ,CR,CR,1,1,Yes,
0x40022000,0x40022000,FLASH_ACR,CR,CR,1,1,Yes,hybrid enables prefetch and shows the status of prefetch mode (read only bit)
