Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x40090000,0x40090000,TWI Control Register,CR,DR,0,1,NO,
0x40090000,0x40090004,TWI Master Mode Register,CR,DR,0,1,NO,
0x40090000,0x4009000c,TWI Internal Address Register,CR,DR,0,1,NO,
0x40090000,0x40090010,TWI Clock Waveform Generator Register,CR,DR,0,1,NO,
0x40090000,0x40090020,TWI Status Register,SR,SR,1,0,Yes,
0x40090000,0x40090030,TWI Receive Holding Register,DR,DR,1,0,Yes,
0x40090000,0x40090120,Transfer Control Register (TWI/DMA),CR,DR,0,1,NO,
0x400c0000,0x400c0000,ADC Control Register,CR,DR,0,1,NO,
0x400c0000,0x400c0004,ADC Mode Register,CR,CR,1,1,Yes,
0x400c0000,0x400c0014,ADC Channel Disable Register,CR,DR,0,1,NO,
0x400c0000,0x400c0028,ADC Interrupt Disable Register,CR,DR,0,1,NO,
0x400c0000,0x400c0104,Peripheral DMA Controller (PDC) Receive Counter Register,CR,DR,0,1,NO,
0x400c0000,0x400c0114,Peripheral DMA Controller (PDC) Receive Next Counter Register,CR,DR,0,1,NO,
0x400c0000,0x400c0120,Peripheral DMA Controller (PDC) Transfer Control Register,CR,DR,0,1,NO,
0x400e0600,0x400e0610,PMC Peripheral Clock Enable Register 0,CR,DR,0,1,NO,
0x400e0600,0x400e0618,PMC Peripheral Clock Status Register 0,SR,SR,1,0,Yes,
0x400e0600,0x400e0620,PMC Clock Generator Main Oscillator Register,CR,CR,1,1,Yes,
0x400e0600,0x400e0628,PMC Clock Generator PLLA Register,CR,DR,0,1,NO,
0x400e0600,0x400e0630,PMC Master Clock Register,CR,CR,1,1,Yes,
0x400e0600,0x400e0668,PMC Status Register,SR,SR,1,0,Yes,
0x400e0600,0x400e0700,PMC Peripheral Clock Enable Register 1,CR,DR,0,1,NO,
0x400e0600,0x400e0708,PMC Peripheral Clock Status Register 1,SR,SR,1,0,Yes,
0x400e0a00,0x400e0a00,EEFC Flash Mode Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0c00,EEFC Flash Mode Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e04,PIO Controller PIO Disable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e08,PIO Controller PIO Status Register (PIOA),SR,SR,1,0,Yes,
0x400e0e00,0x400e0e18,PIO Controller Output Status Register (PIOA),SR,DR,1,0,NO,
0x400e0e00,0x400e0e44,PIO Controller Interrupt Disable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e60,PIO Pull Up Disable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e64,PIO Pull Up Enable Register (PIOA),CR,DR,0,1,NO,
0x400e0e00,0x400e0e70,PIO Peripheral AB Select Register,CR,CR,1,1,Yes,
0x400e0e00,0x400e0ea0,PIO Output Write Enable Register (PIOA),CR,DR,0,1,NO,
0x400e1000,0x400e1004,PIO Controller PIO Disable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1008,PIO Controller PIO Status Register (PIOB),SR,SR,1,0,Yes,
0x400e1000,0x400e1018,PIO Controller Output Status Register,SR,DR,1,0,NO,checks if pin is configured as input or output
0x400e1000,0x400e1044,PIO Controller Interrupt Disable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1060,PIO Pull Up Disable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1070,PIO Peripheral AB Select Register (PIOB),CR,CR,1,1,Yes,
0x400e1000,0x400e10a0,PIO Output Write Enable Register (PIOB),CR,DR,0,1,NO,
0x400e1200,0x400e1208,PIO Controller PIO Status Register (PIOC),SR,SR,1,0,Yes,
0x400e1200,0x400e1218,PIO Controller Output Status Register (PIOC),SR,DR,1,0,NO,
0x400e1200,0x400e1260,PIO Pull Up Disable Register,CR,DR,0,1,NO,
0x400e1200,0x400e12a0,PIO Output Write Enable Register (PIOC),CR,DR,0,1,NO,
0x400e1400,0x400e1404,PIO Controller PIO Disable Register (PIOD),CR,DR,0,1,NO,
0x400e1400,0x400e1408,PIO Controller PIO Status Register (PIOD),SR,SR,1,0,Yes,
0x400e1400,0x400e1418,PIO Controller Output Status Register (PIOD),SR,DR,1,0,NO,
0x400e1400,0x400e1444,PIO Controller Interrupt Disable Register (PIOD),CR,DR,0,1,NO,
0x400e1400,0x400e1460,PIO Pull Up Disable Register (PIOD),CR,DR,0,1,NO,
0x400e1400,0x400e1470,PIO Peripheral AB Select Register (PIOD),CR,CR,1,1,Yes,
0x400e1400,0x400e14a0,PIO Output Write Enable Register (PIOD),CR,DR,0,1,NO,
0x400e1a00,0x400e1a54,Watchdog Timer Mode Register,CR,DR,0,1,NO,
