Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x40000400,0x40000400,14.4.1TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,CR,1,1,Yes,
0x40000400,0x40000404,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,DR,1,1,NO,
0x40000400,0x40000414,14.4.5TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,DR,0,1,NO,
0x40000400,0x40000418,TIMx capture/compare mode register 1 (TIMx_CCMR1),CR,CR,1,1,Yes,
0x40000400,0x40000420,14.4.9TIM1 and TIM8 capture/compare enable register (TIMx_CCER)   ,CR,CR,1,1,Yes,
0x40000400,0x40000428,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,DR,0,1,NO,
0x40000400,0x4000042c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,DR,0,1,NO,
0x40000400,0x40000438,14.4.15 TIM1 and TIM8 capture/compare register 2 (TIMx_CCR2)  ,DR,DR,0,1,Yes,
0x40010000,0x40010004,9.4.2AF remap and debug I/O configuration register (AFIO_MAPR) ,CR,CR,1,1,Yes,
0x40010c00,0x40010c00,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,CR,1,1,Yes,
0x40011000,0x40011000,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,CR,1,1,Yes,
0x40012400,0x40012400,Contents11.12.1 ADC status register (ADC_SR)  ,SR,SR,1,1,Yes,
0x40012400,0x40012404,11.12.2 ADC control register 1 (ADC_CR1)  ,CR,CR,1,1,Yes,
0x40012400,0x40012408,11.12.3 ADC control register 2 (ADC_CR2)  ,CR,C&SR,1,1,NO,
0x40012400,0x4001240c,11.12.4 ADC sample time register 1 (ADC_SMPR1)  ,CR,CR,1,1,Yes,
0x40012400,0x40012410,11.12.5 ADC sample time register 2 (ADC_SMPR2)  ,CR,CR,1,1,Yes,
0x40012400,0x40012414,ADC injected channel data offset register x (ADC_JOFRx),CR,CR,1,1,Yes,
0x40012400,0x40012418,ADC injected channel data offset register x (ADC_JOFRx),CR,CR,1,1,Yes,
0x40012400,0x4001241c,ADC injected channel data offset register x (ADC_JOFRx),CR,CR,1,1,Yes,
0x40012400,0x40012420,ADC injected channel data offset register x (ADC_JOFRx),CR,CR,1,1,Yes,
0x40012400,0x40012424,ADC watchdog high threshold register (ADC_HTR),CR,CR,1,1,Yes,
0x40012400,0x40012428,11.12.8 ADC watchdog low threshold register (ADC_LTR)   ,CR,CR,1,1,Yes,
0x40012400,0x4001242c,11.12.9 ADC regular sequence register 1 (ADC_SQR1)  ,CR,CR,1,1,Yes,
0x40012400,0x40012430,11.12.10 ADC regular sequence register 2 (ADC_SQR2)  ,CR,CR,1,1,Yes,
0x40012400,0x40012434,11.12.11 ADC regular sequence register 3 (ADC_SQR3)  ,CR,CR,1,1,Yes,
0x40012400,0x40012438,11.12.12 ADC injected sequence register (ADC_JSQR)  ,CR,CR,1,1,Yes,
0x40012400,0x4001244c,11.12.14 ADC regular data register (ADC_DR)  ,DR,DR,1,0,Yes,
0x40021000,0x40021000,Control register (RCC_CR)  ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021004,Clock configuration register (RCC_CFGR)   ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021008,7.3.2Clock interrupt register (RCC_CIR)  ,CR,DR,0,1,NO,
0x40021000,0x4002100c,7.3.4APB2 peripheral reset register (RCC_APB2RSTR)   ,CR,CR,1,1,Yes,
0x40021000,0x40021018,7.3.7APB2 peripheral clock enable register (RCC_APB2ENR) ,CR,CR,1,1,Yes,
0x40021000,0x4002101c,APB1 peripheral clock enable register (RCC_APB1ENR) ,CR,CR,1,1,Yes,
0x40022000,0x40022000,FLASH_ACR,CR,CR,1,1,Yes,hybrid enables prefetch and shows the status of prefetch mode (read only bit)
