Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x40010800,0x40010800,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,CR,1,1,Yes,
0x40010800,0x40010804,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,CR,1,1,Yes,
0x40010800,0x40010810,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,DR,0,1,Yes,
0x40010c00,0x40010c04,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,CR,1,1,Yes,
0x40010c00,0x40010c08,9.2.3Port input data register (GPIOx_IDR) (x=A..G)  ,DR,SR,1,0,NO,
0x40013000,0x40013000,SPI control register 1 (SPI_CR1) (not used in I2S mode)  ,CR,CR,1,1,Yes,
0x40013000,0x40013004,SPI control register 2 (SPI_CR2) ,CR,DR,0,1,NO,
0x40013000,0x40013008,SPI status register (SPI_SR)  ,SR,SR,1,0,Yes,
0x40013000,0x4001300c,SPI data register (SPI_DR)  ,DR,DR,1,1,Yes,
0x40013000,0x40013010,SPI CRC polynomial register (SPI_CRCPR) (not used in I2Smode) ,CR,DR,0,1,NO,
0x40013000,0x4001301c,25.5.7SPI_I2S configuration register (SPI_I2SCFGR) ,CR,CR,1,1,Yes,
0x40021000,0x40021000,Control register (RCC_CR)  ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021004,Clock configuration register (RCC_CFGR)   ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021008,7.3.2Clock interrupt register (RCC_CIR)  ,CR,DR,0,1,NO,
0x40021000,0x40021018,7.3.7APB2 peripheral clock enable register (RCC_APB2ENR) ,CR,CR,1,1,Yes,
0x40022000,0x40022000,FLASH_ACR,CR,CR,1,1,Yes,hybrid enables prefetch and shows the status of prefetch mode (read only bit)
