Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x40010000,0x40010004,9.4.2AF remap and debug I/O configuration register (AFIO_MAPR) ,CR,CR,1,1,Yes,
0x40010800,0x40010804,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,CR,1,1,Yes,
0x40011000,0x40011004,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,CR,1,1,Yes,
0x40011000,0x40011014,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,CR,1,1,NO,
0x40013800,0x40013800,Status register (USART_SR)  ,SR,SR,1,0,Yes,
0x40013800,0x40013804,Data register (USART_DR)  ,DR,DR,0,1,Yes,
0x40013800,0x40013808,Baud rate register (USART_BRR)  ,CR,DR,0,1,NO,
0x40013800,0x4001380c,Control register 1 (USART_CR1) ,CR,CR,1,1,Yes,
0x40013800,0x40013810,ContentsControl register 2 (USART_CR2) ,CR,CR,1,1,Yes,
0x40013800,0x40013814,27.6.6Control register 3 (USART_CR3) ,CR,CR,1,1,Yes,
0x40021000,0x40021000,Control register (RCC_CR)  ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021004,Clock configuration register (RCC_CFGR)   ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021008,7.3.2Clock interrupt register (RCC_CIR)  ,CR,DR,0,1,NO,
0x40021000,0x4002100c,7.3.4APB2 peripheral reset register (RCC_APB2RSTR)   ,CR,DR,0,1,NO,
0x40021000,0x40021010,APB1 peripheral reset register (RCC_APB1RSTR)   ,CR,DR,0,1,NO,
0x40021000,0x40021014,7.3.5AHB peripheral clock enable register (RCC_AHBENR)   ,CR,DR,0,1,NO,
0x40021000,0x40021018,7.3.7APB2 peripheral clock enable register (RCC_APB2ENR) ,CR,CR,1,1,Yes,
0x40021000,0x4002101c,APB1 peripheral clock enable register (RCC_APB1ENR) ,CR,CR,1,1,Yes,
0x40022000,0x40022000,FLASH_ACR,CR,CR,1,1,Yes,hybrid enables prefetch and shows the status of prefetch mode (read only bit)
