Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x4002c000,0x4002c000,Module Configuration Register (SPI0_MCR)32R/W0000_4001,CR,CR,1,1,Yes,
0x4002c000,0x4002c02c,Status Register (SPI0_SR)32R/W0200_0000,SR,SR,1,0,Yes,
0x4002c000,0x4002c030,DMA/Interrupt Request Select and Enable Register(SPI0_RSER)32R/W0000_0000,CR,DR,0,1,NO,
0x4003b000,0x4003b000,ADC Status and Control Registers 1 (ADC0_SC1A)32R/W0000_001F,SR,SR,1,1,Yes,Hybrid
0x4003b000,0x4003b008,ADC Configuration Register 1 (ADC0_CFG1)32R/W0000_0000,CR,CR,1,1,Yes,
0x4003b000,0x4003b00c,ADC Configuration Register 2 (ADC0_CFG2)32R/W0000_0000,CR,DR,0,1,NO,
0x4003b000,0x4003b010,ADC Data Result Register (ADC0_RA)32R0000_0000,DR,DR,1,0,Yes,
0x4003b000,0x4003b020,Status and Control Register 2 (ADC0_SC2)32R/W0000_0000,SR,DR,0,1,NO,Hybrid
0x4003b000,0x4003b024,Status and Control Register 3 (ADC0_SC3)32R/W0000_0000,SR,C&SR,1,1,NO,Hybrid
0x4003b000,0x4003b02c,ADC Plus-Side Gain Register (ADC0_PG)32R/W0000_8200,CR,DR,0,1,NO,
0x4003b000,0x4003b030,ADC Minus-Side Gain Register (ADC0_MG)32R/W0000_8200,CR,DR,0,1,NO,
0x4003b000,0x4003b038,ADC Plus-Side General Calibration Value Register(ADC0_CLPS)32R/W0000_0020,CR,DR,1,0,NO,
0x4003b000,0x4003b03c,ADC Plus-Side General Calibration Value Register(ADC0_CLP4)32R/W0000_0200,CR,DR,1,0,NO,
0x4003b000,0x4003b040,ADC Plus-Side General Calibration Value Register(ADC0_CLP3)32R/W0000_0100,CR,DR,1,0,NO,
0x4003b000,0x4003b044,ADC Plus-Side General Calibration Value Register(ADC0_CLP2)32R/W0000_0080,CR,DR,1,0,NO,
0x4003b000,0x4003b048,ADC Plus-Side General Calibration Value Register(ADC0_CLP1)32R/W0000_0040,CR,DR,1,0,NO,
0x4003b000,0x4003b04c,ADC Plus-Side General Calibration Value Register(ADC0_CLP0)32R/W0000_0020,CR,DR,1,0,NO,
0x4003b000,0x4003b058,ADC Minus-Side General Calibration Value Register(ADC0_CLMS)32R/W0000_0020,CR,DR,1,0,NO,
0x4003b000,0x4003b05c,ADC Minus-Side General Calibration Value Register(ADC0_CLM4)32R/W0000_0200,CR,DR,1,0,NO,
0x4003b000,0x4003b060,ADC Minus-Side General Calibration Value Register(ADC0_CLM3)32R/W0000_0100,CR,DR,1,0,NO,
0x4003b000,0x4003b064,ADC Minus-Side General Calibration Value Register(ADC0_CLM2)32R/W0000_0080,CR,DR,1,0,NO,
0x4003b000,0x4003b068,ADC Minus-Side General Calibration Value Register(ADC0_CLM1)32R/W0000_0040,CR,DR,1,0,NO,
0x4003b000,0x4003b06c,ADC Minus-Side General Calibration Value Register(ADC0_CLM0)32R/W0000_0020,CR,DR,1,0,NO,
0x4003d000,0x4003d010,RTC Control Register (RTC_CR),CR,CR,1,1,Yes,
0x40047000,0x40047000,System Options Register 1 (SIM_SOPT1)32R/WSee sectio,CR,CR,1,1,Yes,Hybrid some bits are read only to determine RAM size on device
0x40048000,0x40048034,System Clock Gating Control Register 4 (SIM_SCGC4)32R/WF010_0030,CR,CR,1,1,Yes,
0x40048000,0x40048038,System Clock Gating Control Register 5 (SIM_SCGC5)32R/W0004_0182,CR,CR,1,1,Yes,
0x40048000,0x4004803c,System Clock Gating Control Register 6 (SIM_SCGC6)32R/W4000_0001,CR,CR,1,1,Yes,
0x40048000,0x40048040,System Clock Gating Control Register 7 (SIM_SCGC7)32R/W0000_0006,CR,CR,1,1,Yes,
0x40048000,0x40048044,System Clock Divider Register 1 (SIM_CLKDIV1)32R/WSee sectio,CR,DR,0,1,NO,
0x40049000,0x40049048,Pin Control Register n (PORTA_PCR18)32R/WSee sectio,CR,CR,1,1,Yes,
0x4004a000,0x4004a008,Pin Control Register n (PORTB_PCR2)32R/WSee sectio,CR,DR,0,1,NO,
0x4004a000,0x4004a040,Pin Control Register n (PORTB_PCR16)32R/WSee sectio,CR,DR,0,1,NO,
0x4004a000,0x4004a044,Pin Control Register n (PORTB_PCR17)32R/WSee sectio,CR,DR,0,1,NO,
0x4004a000,0x4004a054,Pin Control Register n (PORTB_PCR21)32R/WSee sectio,CR,DR,0,1,NO,
0x4004a000,0x4004a058,Pin Control Register n (PORTB_PCR22)32R/WSee sectio,CR,DR,0,1,NO,
0x4004c000,0x4004c004,Pin Control Register n (PORTD_PCR1)32R/WSee sectio,CR,DR,0,1,NO,
0x4004c000,0x4004c008,Pin Control Register n (PORTD_PCR2)32R/WSee sectio,CR,DR,0,1,NO,
0x4004c000,0x4004c00c,Pin Control Register n (PORTD_PCR3)32R/WSee sectio,CR,DR,0,1,NO,
0x4004d000,0x4004d068,Pin Control Register n (PORTE_PCR26)32R/WSee sectio,CR,DR,0,1,NO,
0x40052000,0x40052000,Watchdog Status and Control Register High(WDOG_STCTRLH)16R/W01D3,SR,DR,0,1,NO,Hybrid
0x40052000,0x4005200e,Watchdog Unlock register (WDOG_UNLOCK)16R/WD928,CR,DR,0,1,NO,
0x40064000,0x40064000,MCG Control 1 Register (MCG_C1)8R/W04,CR,CR,1,1,Yes,
0x40064000,0x40064001,MCG Control 2 Register (MCG_C2)8R/W80,CR,CR,1,1,Yes,
0x40064000,0x40064003,MCG Control 4 Register (MCG_C4)8R/WSee sectio,CR,CR,1,1,Yes,
0x40064000,0x40064004,MCG Control 5 Register (MCG_C5)8R/W00,CR,DR,0,1,NO,
0x40064000,0x40064005,MCG Control 6 Register (MCG_C6)8R/W00,CR,CR,1,1,Yes,
0x40064000,0x40064006,MCG Status Register (MCG_S)8R10h25.3.7/601,SR,SR,1,0,Yes,
0x40064000,0x40064008,MCG Status and Control Register (MCG_SC)8R/W02,SR,CR,1,1,NO,Hybrid
0x40064000,0x4006400c,MCG Control 7 Register (MCG_C7)8R/W00,CR,DR,0,1,NO,
0x4006a000,0x4006a000,UART Baud Rate Registers: High (UART0_BDH)8R/W00,CR,DR,0,1,NO,
0x4006a000,0x4006a001,UART Baud Rate Registers: Low (UART0_BDL)8R/W04,CR,DR,0,1,NO,
0x4006a000,0x4006a002,UART Control Register 1 (UART0_C1)8R/W00,CR,DR,0,1,NO,
0x4006a000,0x4006a003,UART Control Register 2 (UART0_C2)8R/W00,CR,CR,1,1,Yes,
0x4006a000,0x4006a004,UART Status Register 1 (UART0_S1)8RC0h52.3.5/1584,SR,SR,1,0,Yes,
0x4006a000,0x4006a007,UART Data Register (UART0_D)8R/W00,DR,DR,1,1,Yes,
0x4006a000,0x4006a00a,UART Control Register 4 (UART0_C4)8R/W00,CR,DR,0,1,NO,
0x4006a000,0x4006a010,UART FIFO Parameters (UART0_PFIFO)8R/WSee sectio,CR,CR,1,1,Yes,
0x4006a000,0x4006a011,UART FIFO Control Register (UART0_CFIFO)8R/W00,CR,DR,0,1,NO,
0x4006a000,0x4006a013,UART FIFO Transmit Watermark (UART0_TWFIFO)8R/W00,CR,DR,0,1,NO,
0x4006a000,0x4006a015,UART FIFO Receive Watermark (UART0_RWFIFO)8R/W01,CR,DR,0,1,NO,CHECK
0x4007e000,0x4007e000,Power Mode Protection register,CR,CR,1,1,Yes,HYBRID REGISTER
0x400ff000,0x400ff044,Port Set Output Register (GPIOB_PSOR)32W(alwaysreads 0)0000_0000,DR,DR,0,1,Yes,
0x400ff000,0x400ff054,Port Data Direction Register (GPIOB_PDDR)32R/W0000_0000,CR,CR,1,1,Yes,
0x400ff000,0x400ff104,Port Set Output Register (GPIOE_PSOR)32W(alwaysreads 0)0000_0000,DR,DR,0,1,Yes,
0x400ff000,0x400ff114,Port Data Direction Register (GPIOE_PDDR)32R/W0000_0000,DR,CR,1,1,NO,
