Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x40094000,0x40094000,PWM Disable Register,CR,DR,0,1,NO,
0x40094000,0x40094004,PWM Enable Register,CR,DR,0,1,NO,
0x40094000,0x40094008,PWM Disable Register,CR,DR,0,1,NO,
0x40094200,0x40094280,PWM Channel Mode Register,CR,DR,0,1,NO,
0x40094200,0x40094284,PWM Channel Duty Cycle Register,CR,DR,0,1,NO,
0x40094200,0x4009428c,PWM Channel Period Register,CR,DR,0,1,NO,
0x40094200,0x400942a0,PWM Channel Mode Register,CR,DR,0,1,NO,
0x40094200,0x400942a4,PWM Channel Duty Cycle Register,CR,DR,0,1,NO,
0x40094200,0x400942a8,PWM Channel Duty Cycle Update Register,CR,DR,0,1,NO,
0x40094200,0x400942ac,PWM Channel Period Register,CR,DR,0,1,NO,
0x40094200,0x400942c0,PWM Channel Mode Register,CR,DR,0,1,NO,
0x40094200,0x400942c4,PWM Channel Duty Cycle Register,CR,DR,0,1,NO,
0x40094200,0x400942cc,PWM Channel Period Register,CR,DR,0,1,NO,
0x40094200,0x400942e0,PWM Channel Mode Register,CR,DR,0,1,NO,
0x40094200,0x400942e4,PWM Channel Duty Cycle Register,CR,DR,0,1,NO,
0x40094200,0x400942ec,PWM Channel Period Register,CR,DR,0,1,NO,
0x400e0600,0x400e0610,PMC Peripheral Clock Enable Register 0,CR,CR,1,1,Yes,
0x400e0600,0x400e0620,PMC Clock Generator Main Oscillator Register,CR,DR,0,1,NO,
0x400e0600,0x400e0628,PMC Clock Generator PLLA Register,CR,DR,0,1,NO,
0x400e0600,0x400e0630,PMC Master Clock Register,CR,DR,0,1,NO,
0x400e0600,0x400e0668,PMC Status Register,SR,SR,1,0,Yes,
0x400e0600,0x400e06e4,PMC Write Protect Mode Register,CR,DR,0,1,NO,
0x400e0600,0x400e0700,PMC Peripheral Clock Enable Register 1,CR,DR,0,1,NO,
0x400e0600,0x400e0704,PMC Peripheral Clock Disable Register 1,CR,DR,0,1,NO,
0x400e0800,0x400e0800,UART Control Register,CR,DR,0,1,NO,
0x400e0800,0x400e0804,UART Mode Register,CR,DR,0,1,NO,
0x400e0800,0x400e080c,UART Interrupt Disable Register,CR,DR,0,1,NO,
0x400e0800,0x400e0814,UART Status Register,SR,SR,1,0,Yes,
0x400e0800,0x400e081c,UART Transmit Holding Register,DR,DR,0,1,Yes,
0x400e0800,0x400e0820,UART Baud Rate Generator Register,CR,DR,0,1,NO,
0x400e0a00,0x400e0a00,EEFC Flash Mode Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0c00,EEFC Flash Mode Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e00,PIO Controller PIO Enable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e04,PIO Controller PIO Disable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e10,PIO Controller Output Enable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e14,PIO Controller Output Disable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e44,PIO Controller Interrupt Disable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e54,PIO Multi-driver Disable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e60,PIO Pull Up Disable Register,CR,DR,0,1,NO,
0x400e0e00,0x400e0e70,PIO Peripheral AB Select Register,CR,CR,1,1,Yes,
0x400e1000,0x400e1000,PIO Controller PIO Enable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1010,PIO Controller Output Enable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1044,PIO Controller Interrupt Disable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1054,PIO Multi-driver Disable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1060,PIO Pull Up Disable Register,CR,DR,0,1,NO,
0x400e1200,0x400e1204,PIO Controller PIO Disable Register,CR,DR,0,1,NO,
0x400e1200,0x400e1270,PIO Peripheral AB Select Register,CR,CR,1,1,Yes,
0x400e1a00,0x400e1a54,Watchdog Timer Mode Register,CR,CR,1,1,Yes,
